id,text,help_label
1,"Someone please help us we are stuck on our roof the water is rising fast in downtown area",1
2,"Just felt the ground shake for like 30 seconds straight. That was terrifying.",0
3,"My grandmother is trapped under rubble at 45 Oak Street please send rescue teams immediately",1
4,"Massive fire spreading through the hills right now, sky is completely orange",0
5,"We need water and food badly, been stranded for 2 days after the flood. 3 kids with us",1
6,"Praying for everyone affected by the earthquake. Stay safe out there",0
7,"PLEASE my dad is having a heart attack and the roads are flooded we cant get to hospital someone help",1
8,"The cyclone just ripped the roof off our neighbor's house. Unbelievable destruction",0
9,"Trapped in our apartment building 3rd floor, fire below us, cant get out through stairwell",1
10,"Reports coming in of a 6.2 magnitude earthquake near the coast. Tsunami warning issued.",0
11,"Does anyone have insulin?? My wife is diabetic and we lost all our supplies in the flood",1
12,"Explosion at the chemical plant just shook our entire neighborhood windows shattered everywhere",0
13,"We are 5 people stuck in a car surrounded by floodwater on highway 9 please send boats",1
14,"Can't believe what I'm seeing. The entire block is just gone after that explosion",0
15,"Need urgent medical help my son has a deep cut and is bleeding badly, no ambulance can reach us",1
16,"Watching the wildfire coverage on TV. This is absolutely devastating for those communities",0
17,"Please anyone in the riverside area we need rescue there are elderly people here who cant swim",1
18,"Third earthquake aftershock in the last hour. Buildings are visibly cracked all over downtown",0
19,"Our building collapsed partially, my neighbor is pinned under concrete, we need heavy equipment NOW",1
20,"The cyclone has officially made landfall. Wind speeds exceeding 150mph",0
21,"Running out of baby formula stuck in evacuation shelter someone please bring supplies",1
22,"Firefighters are doing an incredible job battling this blaze. Heroes every single one of them",0
23,"SOS we are on the roof of the school near market street, water level is at second floor",1
24,"Just saw footage of the flood damage. Entire streets turned into rivers. Heartbreaking",0
25,"My mother is trapped alone in her house after the earthquake she cant move please help her at 12 Pine Rd",1
26,"Gas leak reported near the explosion site. Authorities telling everyone to evacuate immediately",0
27,"Desperately need someone to rescue my two dogs from our flooded house on Elm Street",1
28,"Nature is truly terrifying. That cyclone footage is something out of a movie",0
29,"Fire surrounded our farm no way out, 4 adults and 2 children here please send helicopter",1
30,"The earthquake just woke up the entire city. Everyone outside in pajamas at 3am",0
31,"Haven't eaten in 3 days after the cyclone destroyed everything. Anyone bringing food to the south side?",1
32,"Smoke so thick you can barely see 10 feet in front of you. Air quality must be insane right now",0
33,"HELP theres a pregnant woman in labor here and the hospital is inaccessible because of flooding",1
34,"Second explosion heard from the industrial zone. Sirens everywhere. Stay away from that area",0
35,"Can someone bring a generator to Cedar Park shelter? We have people on oxygen who need power",1
36,"Sending love and prayers to everyone dealing with this earthquake aftermath. We will rebuild",0
37,"My leg is broken and im alone in my apartment the staircase collapsed in the quake pls help me",1
38,"Fire department says the wildfire has burned over 10,000 acres since yesterday morning",0
39,"Whole family on the second floor water still rising fast someone with a boat please come to Maple Ave",1
40,"The sound of that explosion was unlike anything I've ever heard. Felt it in my chest",0
41,"Need blood donors type O negative at the emergency clinic near city hall after the earthquake",1
42,"Cyclone season is no joke this year. Stay prepared everyone",0
